"file_name","glims_id","cloud_cover","image_quality","image_quality_oli","spacecraft_id","num_pixels","no_data_pixel_count","zero_pixel_count","percentage_zero_pixels","negative_pixel_count","rank_score"
"G077440E32163N_2009-11-25_L7_C02_T1_L2_SR.tif","G077440E32163N","2.0","9.0",,"LANDSAT_7","98800","0","7276","0.0736437246963562753","4422","1"
"G096306E39549N_2009-09-17_L5_C02_T1_L2_SR.tif","G096306E39549N","0.0","9.0",,"LANDSAT_5","84778","0","4989","0.0588478142914435349","3108","1"
"G081113E29966N_2010-12-17_L5_C02_T1_L2_SR.tif","G081113E29966N","2.0","9.0",,"LANDSAT_5","113316","0","6802","0.0600268276324614353","0","1"
"G078490E36318N_2009-08-13_L5_C02_T1_L2_SR.tif","G078490E36318N","1.0","9.0",,"LANDSAT_5","424270","0","12676","0.0298772008390883164","171","1"
"G076015E33814N_2007-10-26_L7_C02_T1_L2_SR.tif","G076015E33814N","4.0","9.0",,"LANDSAT_7","81282","0","5567","0.0684899485741000468","1616","1"
"G080696E30247N_2010-11-15_L5_C02_T1_L2_SR.tif","G080696E30247N","2.0","9.0",,"LANDSAT_5","1057920","0","57881","0.0547120765275257108","465","1"
"G076792E35063N_2005-10-20_L7_C02_T1_L2_SR.tif","G076792E35063N","2.0","9.0",,"LANDSAT_7","62814","0","6024","0.0959021874104498997","5051","1"
"G077372E32163N_2009-09-14_L5_C02_T1_L2_SR.tif","G077372E32163N","2.0","9.0",,"LANDSAT_5","52668","0","170","0.0032277663856611225","0","1"
"G082387E33778N_2010-09-28_L5_C02_T1_L2_SR.tif","G082387E33778N","0.0","9.0",,"LANDSAT_5","148732","0","4691","0.0315399510529005191","0","1"
"G080608E41930N_2007-09-18_L5_C02_T1_L2_SR.tif","G080608E41930N","1.0","9.0",,"LANDSAT_5","109592","0","8131","0.0741933717789619680","4275","1"
"G075086E38293N_2009-07-26_L5_C02_T1_L2_SR.tif","G075086E38293N","2.0","9.0",,"LANDSAT_5","625632","0","22036","0.0352219835302542069","0","1"
"G243210E51703N_2006-08-27_L7_C02_T1_L2_SR.tif","G243210E51703N","1.0","9.0",,"LANDSAT_7","333792","0","30482","0.0913203432077461413","13632","1"
"G081272E30435N_2007-10-30_L7_C02_T1_L2_SR.tif","G081272E30435N","4.0","9.0",,"LANDSAT_7","426360","0","35278","0.0827422835162773243","13333","1"
"G080997E42460N_2007-09-18_L5_C02_T1_L2_SR.tif","G080997E42460N","1.0","9.0",,"LANDSAT_5","67640","0","4243","0.0627291543465405086","0","1"
"G074496E37184N_2009-07-26_L5_C02_T1_L2_SR.tif","G074496E37184N","2.0","9.0",,"LANDSAT_5","87552","0","2723","0.0311015168128654971","18","1"
"G076257E36357N_2010-08-23_L5_C02_T1_L2_SR.tif","G076257E36357N","2.0","9.0",,"LANDSAT_5","79800","0","3071","0.0384837092731829574","0","1"
"G090931E35996N_2006-10-24_L7_C02_T1_L2_SR.tif","G090931E35996N","0.0","9.0",,"LANDSAT_7","137522","0","13507","0.0982170125507191577","15906","1"
"G096026E38237N_2006-07-23_L5_C02_T1_L2_SR.tif","G096026E38237N","2.0","9.0",,"LANDSAT_5","170240","0","15643","0.0918879229323308271","0","1"
"G274556E82183N_2015-05-25_L8_C02_T1_L2_SR.tif","G274556E82183N","0.0",,"9","LANDSAT_8","70490","0","6693","0.0949496382465597957","3870","1"
"G097855E38434N_2006-08-01_L5_C02_T1_L2_SR.tif","G097855E38434N","0.0","9.0",,"LANDSAT_5","85291","0","5208","0.0610615422494753256","303","1"
"G076321E35886N_2010-08-23_L5_C02_T1_L2_SR.tif","G076321E35886N","2.0","9.0",,"LANDSAT_5","101840","0","5064","0.0497250589159465829","0","1"
"G280277E82095N_2015-05-25_L8_C02_T1_L2_SR.tif","G280277E82095N","0.0",,"9","LANDSAT_8","379050","0","20576","0.0542830761113309590","147","1"
"G081429E30328N_2010-12-17_L5_C02_T1_L2_SR.tif","G081429E30328N","2.0","9.0",,"LANDSAT_5","110200","0","6436","0.0584029038112522686","0","1"
